PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40053783,Antibiotic Use In Utero and Early Life and Risk of Chronic Childhood Conditions in New Zealand: Protocol for a Data Linkage Retrospective Cohort Study.,2025 Feb 28,"Ram S, Corbin M, 't Mannetje A, Eng A, Kvalsvig A, Baker MG, Douwes J",", , , , , , ",N/A
40053775,Effectiveness of Digital Diabetes Management Technology on Blood Glucose in Patients With Type 2 Diabetes at Home: Systematic Review and Meta-Analysis.,2025 Mar 3,"Xiao Y, Wang Z, Zhang L, Xie N, Chen F, Song Z, Zhao S",", , , , , , ",N/A
40053712,The Application of Preventive Medicine in the Future Digital Health Era.,2025 Feb 27,"De la Torre K, Min S, Lee H, Kang D",", , , ",N/A
40053507,SGLT2 Inhibitors in CKD: Are They Really Effective in All Patients?,2025 Mar 7,Romagnani P,,N/A
40053429,Safety of Rapid Intermittent Bolus versus Slow Continuous Infusion of Hypertonic Saline for Managing Symptomatic Severe Hyponatremia: A Systematic Review and Meta-analysis.,2025 Mar 7,"Dutta D, Kumar M, Joshi A, Sharma M",", , , ",N/A
40053425,Outcomes of dermal regeneration template and split-thickness skin grafts in lower extremity wound closure: an 8-year retrospective analysis.,2025 Feb,"Rohrich RN, Li KR, Lava CX, Alahmadi S, Chamaa DS, Kim VH, Steinberg JS, Atves JN, Evans KK, Attinger CE",", , , , , , , , , ",N/A
40053422,Retrospective analysis of the effect of vaporous hyperoxia therapy as an adjunct to standard wound care in chronic wounds.,2025 Feb,"Armstrong DG, Kruse D, Carter MJ, Zelen CM, Isaac AL",", , , , ",N/A
40053421,"Assessing the knowledge of patients with diabetes about foot care and prevention of foot complications in Cameroon, West Africa.",2025 Feb,"Brown CK, Kejeh C, Limnyuy C, Mboni L, Ngansi T, Nguesseh B, Ndim P",", , , , , , ",N/A
40053409,Real-world digitally based diabetes management program implementation by a large employer.,2025 Mar 1,"Abraham JM, Ambroz T, Chacon M, Kidney RSM, Parsons HM",", , , , ",N/A
40053407,Dialysis-Imposed Patterns of Nocturnal Sleep Duration: A Multi-Center Prospective Study in Patients Using a Wearable Activity Tracker.,2025 Mar 7,"Han M, van der Sande FM, Kooman JP, Tao X, Preciado P, Tisdale L, Thwin O, Kotanko P",", , , , , , , ",N/A
40053400,"Association Between Post-Transplant Vitamin D, Metabolic Syndrome, and Post Transplant Diabetes Mellitus.",2025 Mar 7,"Malyala R, Vansjalia K, Nash M, Dacouris N, Rapi L, Prasad GVR",", , , , , ",N/A
40053272,Downregulation of HSPB1 and MGST1 Promotes Ferroptosis and Impacts Immune Infiltration in Diabetic Cardiomyopathy.,2025 Mar 7,"Xie Y, Liang B, Meng Z, Guo R, Liu C, Yuan Y, Mu W, Wang Y, Cao J",", , , , , , , , ",N/A
40053208,Osteoporosis in Men: an Overlooked Patient Population.,2025 Mar 7,Chou SH,,N/A
40053184,Readmission patterns and 6-month outcomes in patients with spontaneous intracerebral hematoma: a single centre retrospective analysis in Ghana.,2025 Mar 7,"Tenkorang PO, Asiedu O, Annan AS, Darko K, Osei EKA, Totimeh T",", , , , , ",N/A
